Date/Time,Address,Call Type,Description,Incident Number,Duration
7/21/2023 21:43,1100 BLK BELSLY BLVD,Domestic,DOMESTIC,2023-00018221,1:11:26
7/21/2023 21:24,300 BLK 8TH ST S,Domestic,Domestic,2023-00018219,0:05:12
7/21/2023 17:57,2900 BLK 13TH AVE S,Domestic,DOMESTIC WITH KNIFE,2023-00018200,0:49:58
7/21/2023 17:27,2400 BLK 36TH ST S,Domestic,DOMESTIC,2023-00018196,1:06:58
7/21/2023 9:30,800 BLK 12TH ST N,Domestic,DOMESTIC REPORT/1021 ONLY,2023-00018144,5:46:30
7/21/2023 6:32,1800 BLK 20TH ST S,Domestic,PHYSICAL DOMESTIC,2023-00018127,1:03:48
7/21/2023 5:17,1900 BLK 18TH AVE S,Domestic,DOMESTIC,2023-00018125,1:03:56
7/20/2023 23:29,1300 BLK 34TH AVE S,Domestic,Domestic,2023-00018100,0:18:57
7/20/2023 19:59,800 BLK 17TH ST N,Domestic,SOUNDS OF DOMESTIC,2023-00018083,0:09:34
7/20/2023 19:24,600 BLK 18TH ST N,Domestic,DOMESTIC,2023-00018079,0:15:33
7/18/2023 17:59,2400 BLK 3RD AVE N,Domestic,Domestic,2023-00017867,0:18:04
7/17/2023 10:22,3500 BLK VILLAGE GREEN DR,Domestic,DOMESTIC,2023-00017733,1:04:38
7/15/2023 10:19,3000 BLK 18TH ST S,Domestic,DOMESTIC,2023-00017595,1:06:59
7/14/2023 1:48,1100 BLK 19TH ST S,Domestic,DOMESTIC,2023-00017472,0:32:54
7/13/2023 21:34,900 BLK 9TH AVE S,Domestic,VERBAL DOMESTIC,2023-00017449,0:12:47
7/13/2023 20:40,900 BLK 17TH ST S,Domestic,Domestic,2023-00017447,0:18:33
7/13/2023 14:40,400 BLK CENTER AVE,Domestic,DOMESTIC,2023-00017417,0:30:18
7/12/2023 9:45,1200 BLK 32ND STREET CIR S,Domestic,DOMESTIC,2023-00017287,1:05:34
7/10/2023 18:21,700 BLK 24TH AVE S,Domestic,VERBAL DOMESTIC,2023-00017149,0:10:27
7/9/2023 2:47,1200 BLK 17TH ST N,Domestic,Domestic,2023-00017020,2:01:06
7/7/2023 20:59,100 BLK 22ND AVE S,Domestic,POSS DOMESTIC,2023-00016926,0:13:25
7/5/2023 1:46,600 BLK 36TH AVE S,Domestic,DOMESTIC,2023-00016659,1:39:37
7/4/2023 1:36,1000 BLK 32ND AVE S,Domestic,Domestic,2023-00016530,1:09:18
7/3/2023 19:33,3000 BLK 18TH ST S,Domestic,DOMESTIC,2023-00016493,0:54:25
7/3/2023 13:53,1900 BLK 18TH AVE S,Domestic,DOMESTIC,2023-00016475,1:01:47
7/2/2023 20:33,1600 BLK BELSLY BLVD,Domestic,Domestic,2023-00016388,0:28:08
6/30/2023 19:49,34TH ST S,Domestic,Domestic,2023-00016175,0:47:00
6/30/2023 18:32,100 BLK 16TH ST S,Domestic,DOMESTIC,2023-00016168,0:34:17
6/29/2023 19:58,1300 BLK 10TH AVE S,Domestic,Domestic,2023-00016072,0:45:54
6/28/2023 21:27,1800 BLK BELSLY BLVD,Domestic,DOMESTIC,2023-00016000,0:18:11
6/28/2023 19:12,700 BLK 30TH AVE S,Domestic,DOMESTIC,2023-00015994,4:45:03
6/26/2023 22:36,2500 BLK 14TH ST S,Domestic,VERBAL DOMESTIC,2023-00015823,0:38:24
6/24/2023 14:15,900 BLK 18 1/2 ST S,Domestic,DOMESTIC,2023-00015625,0:14:37
